ID,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard,Customer Segment,Relationship Years,Branch,City,Customer Lifetime Value (CLV),Financial Health Score,Relationship Priority Score,Next Best Product
14,59,32,40,302022,4,2.5,2,0,0,0,0,1,0,Mass,13,Malviya Nagar Branch,Jaipur,95800,47,32.0,Life Insurance
15,67,41,112,560043,1,2.0,1,0,0,1,0,0,0,Affluent,22,Indiranagar Branch,Bengaluru,603200,90,84.5,Fixed Deposit
16,60,30,22,110032,1,1.5,3,0,0,0,0,1,1,Mass,22,Dwarka Branch,Delhi,126900,48,38.5,Life Insurance
17,38,14,130,600061,4,4.7,3,134,1,0,0,0,0,Affluent,10,T Nagar Branch,Chennai,670400,65,70.4,Fixed Deposit
18,42,18,81,400038,4,2.4,1,0,0,0,0,0,0,Mass Affluent,9,Bandra West Branch,Mumbai,216000,71,55.3,Credit Card
19,46,21,193,302094,2,8.1,3,0,1,0,0,0,0,HNI,13,C Scheme Branch,Jaipur,1264500,74,82.7,Home Loan
20,55,28,21,411042,1,0.5,2,0,0,1,0,0,1,Mass,12,Kothrud Branch,Pune,144900,63,38.1,Life Insurance
21,56,31,25,380084,4,0.9,2,111,0,0,0,1,0,Mass,10,Maninagar Branch,Ahmedabad,113200,43,28.9,Life Insurance
22,57,27,63,560059,3,2.0,3,0,0,0,0,1,0,Mass Affluent,8,Koramangala Branch,Bengaluru,170100,71,47.6,Credit Card
23,29,5,62,440038,1,1.2,1,260,0,0,0,1,0,Mass Affluent,3,Dharampeth Branch,Nagpur,167100,51,37.5,Credit Card
24,44,18,43,160090,2,0.7,1,163,0,1,0,0,0,Mass,7,Sector 17 Branch,Chandigarh,198100,65,44.2,Life Insurance
25,36,11,152,380055,2,3.9,1,159,0,0,0,0,1,Affluent,8,Satellite Branch,Ahmedabad,755500,80,74.5,Fixed Deposit
26,43,19,29,110074,3,0.5,1,97,0,0,0,1,0,Mass,13,Karol Bagh Branch,Delhi,149800,55,38.5,Life Insurance
27,40,16,83,500048,4,0.2,3,0,0,0,0,0,0,Mass Affluent,8,Hitech City Branch,Hyderabad,167200,69,49.2,Credit Card
28,46,20,158,400010,1,2.4,1,0,0,0,0,1,1,Affluent,6,Andheri East Branch,Mumbai,585200,83,74.3,Home Loan
29,56,30,48,400017,1,2.2,3,0,0,0,0,1,1,Mass,13,Fort Branch,Mumbai,202600,58,47.9,Life Insurance
30,38,13,119,411071,1,3.3,2,0,1,0,1,1,1,Affluent,16,Hinjewadi Branch,Pune,744400,69,73.1,Mutual Funds
31,59,35,35,700042,1,1.2,3,122,0,0,0,1,0,Mass,9,Salt Lake Branch,Kolkata,154400,56,37.7,Life Insurance
32,40,16,29,440010,1,2.0,2,0,0,0,0,1,0,Mass,12,Wardha Road Branch,Nagpur,59200,49,25.8,Credit Card
33,53,28,41,560090,2,0.6,3,193,0,0,0,0,0,Mass,14,Koramangala Branch,Bengaluru,172000,61,45.0,Life Insurance
34,30,6,18,560019,3,0.9,3,0,0,0,0,0,0,Mass,6,Indiranagar Branch,Bengaluru,29800,38,15.2,Gold Loan
35,31,5,50,500043,4,1.8,3,0,0,0,0,1,0,Mass,1,Secunderabad Branch,Hyderabad,88000,56,27.7,Credit Card
36,48,24,81,110093,3,0.7,1,0,0,0,0,0,0,Mass Affluent,10,Dwarka Branch,Delhi,186900,74,53.8,Credit Card
37,59,35,121,400088,1,2.9,1,0,0,0,0,0,1,Affluent,18,Bandra West Branch,Mumbai,633700,85,81.8,Fixed Deposit
38,51,25,71,500040,1,1.4,3,198,0,0,0,0,0,Mass Affluent,6,Hitech City Branch,Hyderabad,237300,72,52.8,Credit Card
39,42,18,141,110058,3,5.0,3,0,1,1,1,1,0,HNI,10,Connaught Place Branch,Delhi,921600,83,75.1,Credit Card
40,38,13,80,411054,4,0.7,3,285,0,0,0,1,0,Mass Affluent,3,Viman Nagar Branch,Pune,229500,70,50.7,Credit Card
41,57,32,84,560018,3,1.6,3,0,0,1,0,0,0,Mass Affluent,5,Indiranagar Branch,Bengaluru,252700,81,57.2,Credit Card
42,34,9,60,302074,3,2.3,1,0,0,0,0,0,0,Mass Affluent,7,Malviya Nagar Branch,Jaipur,127100,61,38.6,Home Loan
43,32,7,132,700039,4,1.1,2,412,1,0,0,1,0,Affluent,7,Park Street Branch,Kolkata,471100,68,65.3,Fixed Deposit
44,39,15,45,560054,1,0.7,1,0,0,0,0,1,0,Mass,7,Whitefield Branch,Bengaluru,80400,66,32.3,Credit Card
45,46,20,104,302086,1,5.7,1,0,0,0,0,1,1,Affluent,13,C Scheme Branch,Jaipur,583700,69,73.1,Fixed Deposit
46,57,31,52,380034,4,2.5,1,0,0,0,0,0,1,Mass,22,Navrangpura Branch,Ahmedabad,254600,58,58.5,Life Insurance
47,39,14,43,560063,3,0.7,2,153,0,0,0,1,0,Mass,9,Indiranagar Branch,Bengaluru,165700,55,39.9,Credit Card
48,37,12,194,110085,4,0.2,3,211,1,1,1,1,1,HNI,7,Dwarka Branch,Delhi,857500,92,69.7,Life Insurance
49,56,26,81,411002,2,4.5,3,0,0,0,0,0,1,Mass Affluent,6,Kothrud Branch,Pune,315800,68,58.7,Life Insurance
50,40,16,49,400019,1,1.8,1,0,0,0,0,0,1,Mass,9,Fort Branch,Mumbai,166500,65,43.2,Personal Loan
51,32,8,8,110026,4,0.7,2,0,0,1,0,1,0,Mass,1,Karol Bagh Branch,Delhi,39000,34,11.3,Credit Card
52,61,37,131,400026,1,2.9,1,0,0,0,0,1,0,Affluent,10,Fort Branch,Mumbai,504300,85,77.4,Fixed Deposit
53,30,6,72,380002,1,0.1,1,207,0,0,0,0,0,Mass Affluent,3,Navrangpura Branch,Ahmedabad,174000,62,42.2,Credit Card
54,50,26,190,411019,3,2.1,3,240,1,0,0,1,0,HNI,5,Kothrud Branch,Pune,725500,78,72.5,Fixed Deposit
55,29,5,44,700081,1,0.2,3,0,0,0,0,1,0,Mass,4,Howrah Branch,Kolkata,66900,64,28.1,Credit Card
56,41,17,139,380020,2,8.0,1,0,0,0,0,1,0,Affluent,10,Maninagar Branch,Ahmedabad,805400,85,82.4,Fixed Deposit
57,55,30,29,500089,3,0.1,2,0,0,1,1,1,0,Mass,5,Secunderabad Branch,Hyderabad,144900,77,38.1,Life Insurance
58,56,31,131,600058,2,1.2,3,0,1,0,0,0,0,Affluent,10,T Nagar Branch,Chennai,416000,76,70.3,Fixed Deposit
59,28,2,93,400008,2,0.2,1,0,0,0,0,0,0,Mass Affluent,3,Andheri East Branch,Mumbai,163400,76,48.5,Credit Card
60,31,5,188,400030,2,4.5,1,455,0,0,0,0,0,HNI,3,Fort Branch,Mumbai,737200,77,74.1,Fixed Deposit
61,49,24,39,411036,3,1.7,2,0,0,1,0,1,0,Mass,18,Kothrud Branch,Pune,189500,62,49.4,Life Insurance
62,47,21,125,500087,1,5.7,1,112,0,1,0,0,0,Affluent,19,Secunderabad Branch,Hyderabad,1051000,84,83.8,Fixed Deposit
63,42,18,22,600034,1,1.0,1,0,0,0,0,0,0,Mass,9,T Nagar Branch,Chennai,28000,44,19.0,Credit Card
64,42,17,32,380038,4,0.0,2,0,0,0,0,1,0,Mass,11,Satellite Branch,Ahmedabad,62100,56,27.7,Life Insurance
65,47,23,105,411025,2,3.3,1,0,0,0,0,0,0,Affluent,11,Kothrud Branch,Pune,367500,77,70.5,Fixed Deposit
66,59,35,131,600041,1,3.8,1,0,0,0,0,1,1,Affluent,10,T Nagar Branch,Chennai,646500,89,78.6,Fixed Deposit
67,62,36,105,600064,2,2.8,1,336,0,0,0,0,0,Affluent,5,T Nagar Branch,Chennai,380900,77,65.2,Fixed Deposit
68,53,23,45,560067,4,2.0,3,132,0,1,0,0,0,Mass Affluent,3,Koramangala Branch,Bengaluru,198300,58,40.4,Life Insurance
69,47,21,60,400026,3,2.1,1,0,0,0,0,1,1,Mass,19,Bandra West Branch,Mumbai,286500,63,61.3,Life Insurance
70,53,29,20,560019,4,0.2,1,0,0,0,0,1,0,Mass,12,Koramangala Branch,Bengaluru,30400,52,22.7,Life Insurance
71,42,18,115,110068,1,3.5,1,0,0,0,0,0,1,Affluent,18,Connaught Place Branch,Delhi,599700,77,79.0,Fixed Deposit
72,53,29,69,560056,4,1.0,2,0,0,0,0,1,0,Mass Affluent,10,Whitefield Branch,Bengaluru,174900,66,48.8,Credit Card
73,44,20,130,226015,1,5.0,1,0,0,0,0,0,1,Affluent,5,Hazratganj Branch,Lucknow,531300,78,70.6,Fixed Deposit
74,41,16,85,110074,1,4.0,3,0,0,0,0,1,1,Mass Affluent,10,Karol Bagh Branch,Delhi,379800,68,64.8,Personal Loan
75,28,3,135,400044,2,3.3,1,0,0,0,0,0,1,Affluent,2,Fort Branch,Mumbai,418200,76,65.7,Fixed Deposit
76,31,7,135,110018,4,3.8,2,0,1,0,1,1,1,Affluent,7,Karol Bagh Branch,Delhi,679200,76,69.0,Mutual Funds
77,58,32,12,110031,3,0.3,3,0,0,0,0,0,0,Mass,16,Connaught Place Branch,Delhi,23600,48,22.8,Life Insurance
78,46,20,29,411088,3,0.5,2,0,0,0,0,0,0,Mass,4,Hinjewadi Branch,Pune,35300,53,19.8,Gold Loan
79,54,30,133,600013,2,2.6,3,0,1,0,0,0,0,Affluent,5,OMR Branch,Chennai,411300,75,66.9,Fixed Deposit
80,50,26,19,380096,2,0.4,1,118,0,0,0,1,0,Mass,10,Satellite Branch,Ahmedabad,108500,46,28.3,Credit Card
81,60,36,41,411036,4,1.3,1,174,0,0,0,1,1,Mass,11,Kothrud Branch,Pune,253500,61,50.4,Life Insurance
82,47,22,40,560091,3,2.7,2,0,0,0,0,1,0,Mass,4,Koramangala Branch,Bengaluru,79200,50,25.2,Credit Card
83,41,16,82,302029,1,4.0,3,0,0,0,0,1,0,Mass Affluent,19,Malviya Nagar Branch,Jaipur,358900,64,69.8,Credit Card
84,33,9,50,110024,1,2.4,2,0,0,0,0,0,0,Mass,2,Connaught Place Branch,Delhi,90500,54,28.1,Credit Card
85,46,22,18,400076,1,0.9,3,0,0,0,0,1,0,Mass,11,Andheri East Branch,Mumbai,35800,45,20.5,Credit Card
86,27,2,109,400011,4,1.8,3,0,0,0,0,0,0,Affluent,2,Andheri East Branch,Mumbai,235900,71,55.2,Fixed Deposit
87,40,16,42,700013,4,2.2,2,126,0,0,0,0,0,Mass,3,Park Street Branch,Kolkata,135400,48,30.7,Life Insurance
88,48,22,78,500092,3,1.1,1,0,0,0,0,1,0,Mass Affluent,3,Hitech City Branch,Hyderabad,155300,69,43.7,Credit Card
89,65,41,51,110069,2,1.1,1,0,0,0,0,1,0,Mass,23,Karol Bagh Branch,Delhi,168500,67,53.8,Life Insurance
90,25,-1,113,500050,4,2.3,3,0,0,0,0,0,1,Affluent,1,Banjara Hills Branch,Hyderabad,299700,76,58.6,Fixed Deposit
91,55,30,118,400044,4,5.6,2,0,1,0,0,1,0,Affluent,7,Andheri East Branch,Mumbai,505800,64,67.2,Fixed Deposit
92,35,10,29,411050,4,1.1,3,0,0,0,0,1,0,Mass,5,Kothrud Branch,Pune,41000,47,19.4,Credit Card
93,43,19,34,560050,3,0.6,2,0,0,0,0,0,0,Mass,16,Indiranagar Branch,Bengaluru,69100,50,30.3,Life Insurance
94,60,34,64,560033,2,1.7,3,236,0,1,0,1,0,Mass Affluent,8,Whitefield Branch,Bengaluru,317900,73,58.2,Credit Card
95,65,39,121,560042,1,2.0,1,0,0,0,0,0,0,Affluent,13,Koramangala Branch,Bengaluru,418700,83,76.0,Fixed Deposit
96,38,12,48,411029,4,0.2,3,0,0,0,0,1,0,Mass,11,Viman Nagar Branch,Pune,99800,61,36.2,Life Insurance
97,41,15,80,560030,1,5.2,1,0,0,0,0,0,0,Mass Affluent,10,Koramangala Branch,Bengaluru,277300,61,58.4,Credit Card
98,54,28,161,400058,1,2.9,1,0,0,0,0,1,0,Affluent,12,Fort Branch,Mumbai,718300,93,85.6,Home Loan
99,49,23,94,400009,1,0.3,1,0,0,0,0,1,0,Mass Affluent,21,Bandra West Branch,Mumbai,323700,76,73.7,Credit Card
100,66,41,15,440046,3,0.1,3,0,0,0,0,1,0,Mass,4,Wardha Road Branch,Nagpur,28200,59,19.0,Life Insurance
101,48,23,74,682077,1,1.2,1,0,0,0,0,1,0,Mass Affluent,7,Kakkanad Branch,Kochi,180800,76,50.9,Credit Card
102,61,36,30,700025,3,1.3,2,0,0,0,0,0,0,Mass,26,Park Street Branch,Kolkata,84000,54,37.9,Life Insurance
103,53,23,44,110077,3,1.0,3,198,0,0,0,1,1,Mass,19,Dwarka Branch,Delhi,293800,55,57.2,Life Insurance
104,43,18,22,440044,2,0.3,2,0,0,0,0,1,0,Mass,8,Wardha Road Branch,Nagpur,36500,59,22.9,Credit Card
105,56,32,38,380038,4,1.3,1,166,0,0,0,1,1,Mass,14,Satellite Branch,Ahmedabad,248500,57,50.4,Life Insurance
106,24,0,35,700094,3,0.1,2,0,0,1,0,1,0,Mass,2,Salt Lake Branch,Kolkata,81400,61,25.7,Credit Card
107,43,17,69,500015,4,2.9,1,0,0,0,0,1,1,Mass Affluent,17,Hitech City Branch,Hyderabad,331400,63,63.8,Life Insurance
108,42,18,43,110043,1,0.7,1,136,0,0,0,0,0,Mass,11,Karol Bagh Branch,Delhi,154500,57,40.3,Credit Card
109,33,7,32,400032,1,0.6,3,166,0,0,0,1,0,Mass,5,Fort Branch,Mumbai,109100,46,26.9,Credit Card
110,43,17,49,160075,1,2.8,1,0,0,0,0,1,0,Mass,5,Sector 17 Branch,Chandigarh,106900,58,32.9,Credit Card
111,41,14,9,500067,3,1.0,2,0,0,0,0,0,0,Mass,15,Banjara Hills Branch,Hyderabad,12000,35,18.0,Gold Loan
112,62,38,45,110018,4,1.3,2,0,0,0,0,1,0,Mass,17,Connaught Place Branch,Delhi,125200,57,41.6,Life Insurance
113,40,15,82,560094,3,1.0,1,309,0,0,0,0,0,Mass Affluent,16,Koramangala Branch,Bengaluru,329100,69,66.0,Credit Card
114,58,34,92,600051,2,2.8,1,103,0,0,0,0,0,Mass Affluent,6,OMR Branch,Chennai,356700,77,64.1,Credit Card
115,39,14,39,110005,3,0.5,3,0,0,0,0,1,0,Mass,9,Connaught Place Branch,Delhi,70200,55,28.1,Credit Card
116,65,40,81,226053,3,1.8,2,0,0,0,0,1,0,Mass Affluent,21,Aliganj Branch,Lucknow,316000,74,71.2,Credit Card
117,54,29,35,380029,1,1.5,2,0,0,0,0,1,0,Mass,22,Satellite Branch,Ahmedabad,106900,59,41.1,Life Insurance
118,58,33,61,700077,2,2.3,3,193,0,0,0,1,0,Mass Affluent,19,Howrah Branch,Kolkata,355800,68,66.5,Credit Card
119,41,16,73,560061,3,3.0,1,0,0,0,0,1,0,Mass Affluent,9,Koramangala Branch,Bengaluru,213800,66,52.9,Credit Card
120,32,7,112,411079,1,4.6,1,366,0,0,0,0,0,Affluent,9,Viman Nagar Branch,Pune,529500,71,70.4,Fixed Deposit
121,54,29,12,600072,2,0.2,3,0,0,0,0,1,0,Mass,17,Anna Nagar Branch,Chennai,13900,50,23.3,Life Insurance
122,52,26,38,411011,3,0.9,3,0,0,0,0,1,0,Mass,22,Kothrud Branch,Pune,107000,56,40.6,Life Insurance
123,58,32,73,400052,2,0.7,2,0,0,0,0,1,1,Mass Affluent,23,Andheri East Branch,Mumbai,335000,77,71.5,Life Insurance
124,37,13,84,560073,1,3.6,2,0,0,1,0,0,0,Affluent,9,Koramangala Branch,Bengaluru,342800,73,63.7,Credit Card
125,39,15,78,400006,4,2.4,1,118,0,0,0,1,0,Mass Affluent,13,Fort Branch,Mumbai,366600,65,64.2,Credit Card
126,60,35,80,500087,3,0.5,1,0,0,0,0,1,0,Mass Affluent,16,Banjara Hills Branch,Hyderabad,251900,79,64.4,Credit Card
127,31,5,115,560002,2,1.3,1,101,0,0,0,1,1,Affluent,7,Indiranagar Branch,Bengaluru,469700,76,66.8,Fixed Deposit
128,34,8,82,400059,1,2.7,2,251,0,0,0,1,0,Mass Affluent,2,Bandra West Branch,Mumbai,274500,66,53.1,Credit Card
129,38,14,74,400021,2,0.0,1,0,0,1,0,1,0,Mass Affluent,15,Andheri East Branch,Mumbai,268700,81,63.4,Credit Card
130,41,16,70,600070,3,0.5,3,0,0,0,0,0,1,Mass Affluent,4,T Nagar Branch,Chennai,171500,68,43.8,Life Insurance
131,28,4,81,110040,3,1.5,1,276,0,0,0,1,0,Mass Affluent,3,Karol Bagh Branch,Delhi,232200,61,48.8,Credit Card
132,58,34,149,452039,4,7.2,2,0,1,0,1,1,1,HNI,27,MG Road Branch,Indore,1669600,78,84.8,Mutual Funds
133,31,1,51,600026,2,1.75,3,0,0,0,0,0,0,Mass,3,Anna Nagar Branch,Chennai,97100,60,31.2,Credit Card
134,30,4,39,560091,3,1.1,2,0,0,0,0,1,0,Mass,7,Koramangala Branch,Bengaluru,74900,54,27.2,Gold Loan
135,53,29,98,600089,3,1.8,2,0,0,0,0,0,0,Mass Affluent,12,T Nagar Branch,Chennai,292400,78,66.9,Credit Card
136,58,33,45,400047,4,2.1,1,0,0,0,0,1,1,Mass,10,Fort Branch,Mumbai,162300,56,40.8,Life Insurance
137,59,32,49,641072,4,2.5,2,0,0,0,0,1,0,Mass,16,Peelamedu Branch,Coimbatore,149200,56,44.2,Life Insurance
138,49,25,128,500047,2,0.4,1,0,0,0,0,0,0,Affluent,14,Banjara Hills Branch,Hyderabad,373800,84,75.4,Fixed Deposit
139,59,34,42,380090,3,1.5,1,0,0,1,1,0,1,Mass Affluent,14,Navrangpura Branch,Ahmedabad,310900,76,59.5,Life Insurance
140,59,35,18,400023,1,1.2,3,0,0,0,0,1,0,Mass,13,Fort Branch,Mumbai,42800,52,24.1,Life Insurance
141,51,25,31,500091,2,0.4,3,161,0,0,0,1,1,Mass,20,Secunderabad Branch,Hyderabad,256700,59,54.6,Life Insurance
142,35,11,58,500038,3,2.0,1,149,0,0,0,1,1,Mass Affluent,7,Banjara Hills Branch,Hyderabad,267100,54,48.7,Life Insurance
143,33,9,48,452029,1,2.1,3,0,0,0,0,0,1,Mass,4,MG Road Branch,Indore,135700,59,34.7,Mutual Funds
144,25,1,54,600073,4,1.6,1,0,0,0,0,1,1,Mass,3,T Nagar Branch,Chennai,148200,57,36.0,Auto Loan
145,49,23,70,500068,2,1.5,2,0,0,0,0,0,0,Mass Affluent,24,Secunderabad Branch,Hyderabad,245000,69,65.0,Credit Card
146,59,35,124,110037,1,7.4,1,0,0,0,0,0,1,Affluent,23,Connaught Place Branch,Delhi,980700,74,85.8,Fixed Deposit
147,46,19,84,560076,1,2.67,2,0,0,0,0,1,1,Mass Affluent,9,Whitefield Branch,Bengaluru,321800,74,62.9,Mutual Funds
148,50,25,83,500084,4,3.6,3,188,0,0,0,1,0,Mass Affluent,18,Banjara Hills Branch,Hyderabad,519000,73,74.5,Credit Card
149,52,28,163,560013,2,0.4,1,116,0,0,0,1,0,Affluent,13,Whitefield Branch,Bengaluru,662400,89,81.6,Fixed Deposit
150,48,22,42,400017,3,2.2,2,0,0,0,0,0,0,Mass,4,Andheri East Branch,Mumbai,73000,51,25.2,Gold Loan
151,46,22,118,302004,2,7.5,1,0,0,0,1,1,1,Affluent,6,Malviya Nagar Branch,Jaipur,745900,80,72.3,Home Loan
152,26,0,132,160062,3,6.5,3,0,1,0,0,0,1,Affluent,1,Sector 35 Branch,Chandigarh,497700,56,59.3,Fixed Deposit
153,57,32,24,400032,1,1.3,1,0,0,0,0,1,1,Mass,15,Fort Branch,Mumbai,119700,52,34.8,Life Insurance
154,60,36,22,600009,2,1.0,1,0,0,1,1,1,1,Mass,24,T Nagar Branch,Chennai,318900,70,63.2,Life Insurance
155,54,29,58,400020,4,1.3,3,0,0,0,0,0,0,Mass,9,Bandra West Branch,Mumbai,126100,63,39.8,Life Insurance
156,24,0,60,411059,4,1.6,1,0,0,0,0,1,0,Mass,2,Viman Nagar Branch,Pune,100800,48,29.3,Credit Card
157,26,0,15,110021,4,0.4,1,0,0,0,0,0,1,Mass,1,Connaught Place Branch,Delhi,41800,41,13.8,Gold Loan
158,41,17,83,411072,4,2.67,1,0,0,0,0,1,1,Mass Affluent,15,Viman Nagar Branch,Pune,370300,68,67.1,Life Insurance
159,32,6,79,700017,2,1.5,3,0,0,0,0,1,1,Mass Affluent,5,Salt Lake Branch,Kolkata,233800,66,51.1,Home Loan
160,61,35,41,380018,4,1.7,2,0,0,1,0,1,0,Mass,10,Navrangpura Branch,Ahmedabad,155200,62,40.6,Life Insurance
161,29,0,134,400022,4,6.5,3,0,1,0,0,0,0,Affluent,4,Andheri East Branch,Mumbai,514500,61,65.6,Fixed Deposit
162,61,35,80,682052,2,2.8,1,0,0,0,0,1,0,Mass Affluent,17,MG Road Kochi Branch,Kochi,308900,72,67.6,Credit Card
163,38,12,52,110030,1,2.0,1,0,0,0,0,0,0,Mass,9,Dwarka Branch,Delhi,114200,63,37.8,Credit Card
164,28,4,70,400064,4,2.6,1,0,0,0,0,1,0,Mass Affluent,2,Fort Branch,Mumbai,150700,63,40.3,Credit Card
165,53,27,92,600085,2,1.1,1,0,0,1,0,0,0,Mass Affluent,16,OMR Branch,Chennai,376700,87,73.5,Credit Card
166,27,1,43,560049,1,1.5,1,0,0,0,0,1,0,Mass,2,Koramangala Branch,Bengaluru,67300,53,24.0,Credit Card
167,25,1,21,302040,3,1.0,2,0,0,0,0,0,0,Mass,1,Malviya Nagar Branch,Jaipur,26800,41,13.2,Gold Loan
168,33,9,23,302039,3,0.9,3,0,0,0,0,1,1,Mass,6,Vaishali Nagar Branch,Jaipur,74200,44,21.5,Gold Loan
169,50,26,13,560041,4,1.0,1,0,0,0,0,1,0,Mass,15,Whitefield Branch,Bengaluru,14600,32,17.7,Credit Card
170,27,1,112,641081,4,2.1,3,0,0,0,0,0,1,Affluent,1,Peelamedu Branch,Coimbatore,301200,79,59.4,Fixed Deposit
171,27,1,138,110017,2,2.0,1,0,0,0,0,1,0,Affluent,3,Connaught Place Branch,Delhi,370400,80,68.2,Fixed Deposit
172,52,28,11,500060,3,0.4,1,0,0,1,0,0,0,Mass,4,Banjara Hills Branch,Hyderabad,51500,53,19.2,Life Insurance
173,38,13,171,110091,2,7.8,1,0,0,0,0,1,0,HNI,13,Karol Bagh Branch,Delhi,1025900,72,83.8,Home Loan
174,58,34,42,452069,4,1.5,1,0,0,0,0,1,1,Mass,7,Vijay Nagar Branch,Indore,132500,57,34.9,Life Insurance
175,42,17,168,110023,2,7.9,2,0,1,0,0,1,0,HNI,9,Karol Bagh Branch,Delhi,935900,66,76.4,Home Loan
176,45,20,85,400063,4,1.1,2,0,0,1,0,1,0,Mass Affluent,11,Andheri East Branch,Mumbai,322200,82,66.3,Credit Card
177,52,25,44,560092,3,1.0,2,135,0,0,0,1,0,Mass,25,Indiranagar Branch,Bengaluru,257700,51,58.1,Life Insurance
178,29,3,65,395098,4,1.8,2,244,0,0,0,0,0,Mass Affluent,1,Adajan Branch,Surat,168600,55,38.0,Credit Card
179,53,29,24,160082,4,0.2,1,0,0,0,0,1,1,Mass,27,Sector 35 Branch,Chandigarh,129300,52,41.9,Life Insurance
180,62,37,11,700052,1,0.1,1,0,0,0,0,1,0,Mass,22,Park Street Branch,Kolkata,29100,58,29.3,Life Insurance
181,51,27,38,160087,2,1.0,3,164,0,0,0,1,0,Mass,15,Sector 35 Branch,Chandigarh,181400,53,44.3,Life Insurance
182,36,12,10,160097,4,0.7,2,81,0,0,0,0,0,Mass,8,Sector 17 Branch,Chandigarh,67300,28,16.8,Life Insurance
183,24,0,135,500006,1,1.5,1,0,0,0,0,1,0,Affluent,1,Secunderabad Branch,Hyderabad,318200,83,65.2,Fixed Deposit
184,29,3,148,560046,3,4.1,1,0,1,0,0,1,0,Affluent,2,Koramangala Branch,Bengaluru,471200,64,64.4,Fixed Deposit
185,52,26,63,380099,2,1.5,2,0,0,1,0,1,0,Mass Affluent,17,Maninagar Branch,Ahmedabad,281600,74,62.9,Credit Card
186,39,14,115,411030,1,1.0,3,0,0,0,0,1,0,Affluent,10,Viman Nagar Branch,Pune,327600,75,68.2,Fixed Deposit
187,48,23,45,560021,1,0.3,1,0,0,0,0,1,1,Mass,18,Whitefield Branch,Bengaluru,178500,65,50.0,Home Loan
188,46,21,159,400033,3,1.9,3,315,1,0,0,1,0,Affluent,21,Andheri East Branch,Mumbai,893100,68,80.8,Fixed Deposit
189,64,40,169,700093,2,2.1,1,122,0,0,0,1,0,Affluent,7,Howrah Branch,Kolkata,708600,93,79.8,Fixed Deposit
190,55,29,112,110004,2,1.4,1,0,0,0,0,1,0,Affluent,20,Karol Bagh Branch,Delhi,462000,82,80.6,Fixed Deposit
191,60,36,93,452092,1,4.3,1,0,0,0,0,1,0,Affluent,18,MG Road Branch,Indore,454900,79,77.5,Credit Card
192,51,25,29,110091,1,0.3,3,140,0,0,0,0,0,Mass,5,Dwarka Branch,Delhi,100700,58,28.5,Life Insurance
193,50,23,85,400029,1,2.67,2,0,0,0,0,1,0,Mass Affluent,7,Fort Branch,Mumbai,248200,72,58.1,Credit Card
194,48,24,21,302062,4,0.6,1,0,0,0,0,1,1,Mass,2,C Scheme Branch,Jaipur,64100,46,18.2,Gold Loan
195,53,29,144,400043,2,6.8,1,0,0,0,0,1,0,Affluent,6,Andheri East Branch,Mumbai,669800,84,78.5,Fixed Deposit
196,34,10,13,110049,4,1.0,1,95,0,1,0,1,0,Mass,5,Karol Bagh Branch,Delhi,114900,35,22.8,Credit Card
197,48,24,165,600052,1,5.0,1,0,0,0,0,0,1,HNI,4,T Nagar Branch,Chennai,683000,85,75.6,Home Loan
